Keyword,Suggested Title,Volume,Competition,Why it's an opportunity,5-6 Products to Feature
best fish tape for electricians,The 5 Best Fish Tapes for Electricians 2026,Medium,Low,"No dedicated 'best fish tape' YouTube roundup from the last 12 months despite a saturated written-guide market (multiple blog buying guides) proving real, recurring buyer demand for a core wire-pulling tool.",Klein Tools 50375 Hi-Flex Polyester; Klein Tools 56335 Flat Steel; Greenlee FTS438DL-250 SmartMARK; IDEAL Steel Fish Tape; Southwire Fiberglass Fish Tape; RamPro Wire Puller
best ambient air filtration system for woodshop,The 5 Best Ambient Air Filtration Systems for Woodshop 2026,Medium,Low,"Established commercial category (WEN, JET, Powertec, Rockler, AlorAir all sell dedicated units) with active retailer guides, but only 2-3 exact-match video roundups exist and most are stale (2021-2024). Health/dust-safety angle drives strong buyer intent.",WEN 3417; JET AFS-1000B; Powertec AF4001; Rockler Dust Right Whole-Shop; Shop Fox W1837; AlorAir PureCare 1350IG
best router table fence,The 5 Best Router Table Fences for Precision Routing 2026,Medium,Low,"Multiple current blog 'best router fence' roundups signal real, active demand, but only one dedicated YouTube video was found and it dates to 2023 — the video format is wide open.",JessEm Mast-R-Fence; Kreg PRS1015; INCRA Wonder Fence; Rockler High-Pressure Router Fence; Peachtree PW3319 Deluxe; Woodpeckers Router Fence
best benchtop mortiser,The 5 Best Benchtop Mortisers for Mortise & Tenon Joints 2026,Medium,Low,"Established brand hierarchy (JET, Powermatic, WEN, Grizzly, General) shows real recurring purchase intent; existing 'best' roundups come only from small/recycled-title channels pushing off-brand imports — no major review channel owns the term.",WEN 43013; JET JBM-5; Powermatic PM701; Grizzly T33127; General International 75-050T; VEVOR MS36127 (budget pick)
best marking gauge for woodworking,The 5 Best Marking Gauges for Precision Layout 2026,Medium,Low,"Zero dedicated 'best marking gauge' roundup found (only a stale 2014 buying guide and single-tool reviews), despite marking gauges being a near-universal purchase for anyone doing joinery layout.",Veritas Wheel Marking Gauge; Tite-Mark (Glen-Drake); Woodpeckers Modern Marking Gauge; Crown Traditional Gauge; Groz Marking Gauge; Japanese-style Kinshiro Gauge
best earth auger for post holes,The 5 Best Earth Augers for Fence Posts & Planting 2026,Medium,Low,"Two dedicated Amazon best-seller categories (post hole diggers, augers) show steady demand from active brands (VEVOR, Earthquake, XtremepowerUS), but only blog buying guides surfaced — no dedicated YouTube roundup found. Fits the channel's outdoor-DIY pillar.",Earthquake E43; XtremepowerUS 63cc Auger; VEVOR 52cc Gas Auger; Southland SEA430; Powerline PAG52; Ryobi ONE+ Earth Auger (cordless option)
best hold down clamps for router table,The 5 Best Hold-Down Clamps for Router Tables & Workbenches 2026,Medium,Low,No dedicated YouTube roundup found (only one blog listicle); dual-use appeal across router tables AND workbenches broadens the buyer pool beyond a single tool category.,Kreg Automaxx Bench Clamp; Rockler T-Track Hold-Down; Armor Tool P7-HH; POWERTEC Hold-Down Clamp; Bessey Clamp; Jorgensen Cam Clamp
best honing guide for chisels,The 5 Best Honing Guides for Chisels and Plane Irons 2026,Medium,Low,No exact-match 'best honing guide' roundup exists — only head-to-head comparisons of individual models — despite honing guides being a near-universal purchase for any hand-tool woodworker who sharpens their own edges.,Veritas Mk.II; Veritas Mk.II Deluxe; WoodRiver Eclipse-style Guide; Trend Honing Guide; Woodpeckers OneTIME Guide; General Tools Honing Guide
best lumber storage rack for small shop,The 5 Best Lumber Storage Racks for Small Shop 2026,Medium,Low,"Real commercial products exist (Bora, Kastforce, Rockler) with retailer buying guides, but YouTube coverage is almost entirely 'build your own' content — no dominant product-comparison roundup currently owns the term.",Bora Wood Organizer Metal Rack; Kastforce KF1004; Rockler Wall-Mounted Rack; Ultrawall Heavy-Duty Rack; Triton Wood Rack; Fleximounts Overhead Rack
best conduit bender for electricians,The 5 Best Conduit Benders for Electricians 2026,Medium-Low,Low,"Only one dedicated 2026 video roundup found despite strong written-guide demand signals — an essential, recurring tool purchase for electricians with very low video-format friction to rank.",Klein Tools 51607; IDEAL 74-028 Ductile Iron Bender; Rack-A-Tiers Hoppy Bender; Southwire Conduit Bender; Greenlee Iron Bender; Gardner Bender
