Date,Keyword,Suggested Title,Avg Monthly Searches,Three Month Change,YoY Change,Competition,Why It's an Opportunity,How To Compete,Products to Feature
2026-09-05,best deep pour epoxy,The 5 Best Deep Pour Epoxy Kits for River Tables 2026,"ESTIMATED ~1,000-2,000",n/a (unmeasured),n/a (unmeasured),LOW,"High-ticket consumable ($150-$400 a kit) with repeat purchase, bought by exactly this channel's audience - live-edge slab and river-table builders. YouTube has brand-sponsored showdowns (WiseBond's own 'wins #1 in America') and a 2025 clarity/UV test, but no independent multi-brand roundup owns the exact term; the SERP is entirely epoxy vendors' own blogs, which buyers discount.",-,TotalBoat ThickSet Deep Pour; WiseBond Deep Pour River Table Epoxy; UltraClear Deep Pour; Stone Coat Countertops Super Cast; ICE-CAST Deep Pour Crystal Epoxy; Promise Epoxy Deep Pour 2:1
2026-09-05,best 20 ton hydraulic shop press,The 5 Best 20 Ton Shop Presses for Home Workshops 2026,"ESTIMATED ~700-1,300",n/a (unmeasured),n/a (unmeasured),LOW,"Big-ticket workshop machine ($250-$900) that the channel has only touched via the arbor press. YouTube coverage is dominated by single-tool Harbor Freight reviews rather than roundups, and the one 2026 top-5 that exists is a faceless list padded with 30-ton units - nobody has claimed the 20-ton home-shop bracket, which is the size people actually buy.",-,OEMTOOLS 25087 20-Ton; Sunex 5720AH 20-Ton air/hydraulic; VEVOR 20-Ton pneumatic shop press; Dake 972200 B-20; Baileigh HSP-20A; Torin Big Red T51201 20-Ton
2026-09-05,best aviation snips,The 5 Best Aviation Snips for Sheet Metal and HVAC Work 2026,"ESTIMATED ~600-1,200",n/a (unmeasured),n/a (unmeasured),LOW,"Trades staple that shows up on Amazon hand-tool best-seller lists, and a natural gap next to the channel's existing cable-cutter and BX-cutter videos. YouTube roundups on the term are from 2024-2025 faceless channels; the current SERP is blog buying guides (Bob Vila, Tools Laboratory), so a tested video with real cuts has an open lane.",-,Midwest MWT-6716 offset aviation snips; Malco M2007 andy snips; Crescent Wiss M3R Next Generation; Klein Tools 89555 offset snips; Milwaukee 48-22-4030 left/right/straight set; Channellock 610 straight-cut snips
2026-09-05,best woodworking apron,The 5 Best Woodworking Aprons for Shop Work 2026,"ESTIMATED ~1,500-2,500",n/a (unmeasured),n/a (unmeasured),LOW,"Steady evergreen demand and an easy impulse affiliate buy ($40-$130) for the exact male shop audience the channel serves. Nearly all YouTube coverage is 2020-2024 faceless list videos with dead links; only one genuine 2025 roundup and one Savage Industries unboxing are recent, so an up-to-date exact-match title is uncontested.",-,Hudson Durable Goods HDG901 waxed canvas; Briteree 9-pocket waxed canvas apron; Texas Canvas Wares 4-pocket 16oz; ecoZen Lifestyle woodworking apron; FIGHTECH heavy duty shop apron; Savage Industries split-leg shop apron
2026-09-05,best right angle drill,The 5 Best Right Angle Drills for Tight Spaces 2026,"ESTIMATED ~2,000-3,500",n/a (unmeasured),n/a (unmeasured),MEDIUM,"Trade-buyer tool (electricians, plumbers, cabinet installers boring between studs and inside carcases) that the channel has never covered despite owning impact drivers and drill presses. Demand is stable and product turnover in early 2026 has left every existing list stale.","Two faceless list channels currently hold the term - 'The 6 Best Cordless Right Angle Drill of 2026' (Milwaukee 2415-20 led) and 'TOP-5 Best Cordless Right-Angle Drills 2026' - plus Bob Vila's tested article. All of them predate Bosch's GRD18V-127HX, launched and reviewed hands-on in January 2026, and all mix M12-class compacts with full-size stud-and-joist drills as if they were one product. Win it by splitting the video into two buying brackets (compact between-studs vs high-torque hole-saw work), leading with the new Bosch nobody has listed yet, and testing on the job the buyer actually has: 2-1/8in hole saw through a doubled stud.",Bosch GRD18V-127HX 18V right angle drill; Makita XAD05T 18V LXT; Milwaukee M18 2615-20 hole hawg style; Milwaukee M12 2415-20; DeWalt DCD740C1 20V MAX; Ryobi P241 18V ONE+
2026-09-05,best drywall sander,The 5 Best Drywall Sanders for Dust Free Finishing 2026,"ESTIMATED ~3,000-5,000",n/a (unmeasured),n/a (unmeasured),MEDIUM,"Strong commercial intent in a $120-$800 range and a clean fit beside the channel's dust-collection and air-filtration videos, but no overlap with any sander already covered (random orbital, detail, spindle, drum, combo belt/disc).","Held by faceless roundups - 'Top 5 Best Drywall Sanders with Dust Collection 2026' and '6 Best Drywall Sanders In 2026' - with Bob Vila owning the text SERP behind WEN 6377 and Bosch GTR55-85. Every one of them ranks on spec sheets and manufacturer claims; none measures the thing buyers actually care about, which is how much dust escapes. Win it by pairing each sander with a shop vac and weighing the dust caught vs left on the floor over one 4x8 sheet, and by covering the corner/triangle-head and pole-reach cases the list videos skip entirely.",WEN 6377 variable-speed dual-head; WEN 6369 5A drywall sander; Bosch GTR55-85 9in kit; Yattich YT-916 750W; ALEKO 690E dual-head; Festool Planex LHS 2 225 EQI
2026-09-05,best rotary tool,The 5 Best Rotary Tools for Detail Work and Carving 2026,"ESTIMATED ~4,000-7,000",n/a (unmeasured),n/a (unmeasured),MEDIUM,"Huge accessory attach rate makes this one of the highest affiliate-value keywords on the list - buyers add bits, flex shafts and cutoff wheels to the same cart. Distinct from the die grinder the channel already covered, and the cordless side of the category turned over recently.","Outdoor Life and Reviewed own the article SERP with Dremel-first lists, and one faceless video, 'The 6 Best Cordless Rotary Tools of 2026', holds the video slot. All of them default to ranking Dremel models against each other, while the live buyer question - visible in the SlashGear 'Dremel alternatives' piece and in Harbor Freight Bauer's traction - is whether a $50 alternative is good enough. Win it by framing the video as Dremel vs the challengers (M12, Bauer, WEN, Ryobi), testing accessory cross-compatibility since Dremel's collet ecosystem is the real lock-in, and running each tool to stall on the same carving cut.",Dremel 4300-5/40 corded kit; Dremel 8260 smart cordless; Milwaukee M12 2460-21; WEN 2305 rotary tool with flex shaft; Bauer 8V cordless rotary tool kit; Ryobi P460 18V ONE+ rotary tool
2026-09-05,best laser distance measure,The 5 Best Laser Distance Measures for Contractors 2026,"ESTIMATED ~8,000-14,000",n/a (unmeasured),n/a (unmeasured),HIGH,"Large, year-round buyer volume at a $50-$250 price point with genuine repeat purchase, and it complements rather than repeats the laser level already covered. Worth attempting because the demand ceiling is far above anything in the LOW tier.","Pro Tool Reviews owns 'best laser distance measurer' outright and Bob Vila, Family Handyman and Outdoor Life fill the rest of page one; on video there are at least three 2026 lists ('The 6 Best Laser Measuring Devices of 2026', a 7-best list, and a Bosch GLM165-27CGL single review). Every one of them is a spec recital that stops at max range. Win it on the failure mode nobody films: accuracy against a 100ft steel tape at 30, 60 and 100ft, in bright sun and on a dark surface, where cheap Mileseey-class units fall apart and the green-beam Bosch earns its price. Frame it for the remodeler doing takeoffs, not the gadget buyer, and put the measured error table in the thumbnail.",Bosch GLM165-27CGL 165ft green beam; Bosch GLM 50 C Bluetooth; Leica DISTO D2; DeWalt DW03050 165ft; Klein Tools 93LDM65; Mileseey S2 laser measure
2026-09-05,best cordless impact wrench,The 5 Best Cordless Impact Wrenches for Shop and Garage 2026,"ESTIMATED ~12,000-20,000",n/a (unmeasured),n/a (unmeasured),HIGH,"One of the highest-volume, highest-cart-value terms in the channel's whole space ($150-$450 tools, plus impact sockets as a natural second link), and a clean adjacency to the impact driver and torque wrench already covered.","Pro Tool Reviews owns the head-to-head, and the video slot is crowded with faceless 2026 lists including 'Best Cordless Impact Wrench on Amazon 2026 - Top 15 Picks' and '10 Best Cordless Impact Wrenches You Can Buy in 2026'. Their shared weakness is that they blend mid-torque 3/8in and high-torque 1/2in tools into one ranking by advertised ft-lbs, which is the number that misleads buyers most - nut-busting torque is measured on a fresh battery and never repeats. Win it by splitting mid-torque vs high-torque explicitly, testing rusted suspension bolts and lug nuts to actual removal rather than quoting spec torque, and calling out that a 1000+ ft-lb tool will snap studs on a car - the use-case framing every existing list gets wrong.",DeWalt DCF900P1 20V MAX XR 1/2in; Milwaukee M18 FUEL 2967-20 high torque; Milwaukee M18 FUEL 2962-20 mid-torque; DeWalt DCF891B 1/2in mid-range; Ryobi P262 18V ONE+ HP; Seesii WH9 Pro budget kit
2026-09-05,best inverter generator,The 5 Best Inverter Generators for Home Backup 2026,"ESTIMATED ~20,000-35,000",n/a (unmeasured),n/a (unmeasured),HIGH,"The largest demand on this batch by a wide margin, with seasonal storm-season spikes, $500-$2,500 order values and strong affiliate payout. Distinct from the banned portable power stations - this is the gas/dual-fuel category - and it extends the channel's outdoor-DIY side.","The exact term is saturated: at least six dedicated 2026 videos ('Best Inverter Generators in 2026 - Ultimate Buyer's Guide', two 'Watch Before You Buy' top-5s, '6 Best Inverter Generator 2026') plus lab-tested syndicated articles. Every single one opens with the Honda EU2200i as the gold standard and stops at rated watts and a quoted dB figure taken from the spec sheet. Win it by measuring sound yourself at the 23ft standard AND at 7ft where a neighbor stands, and by building the video around the question the lists refuse to answer: what it actually costs to run a fridge, freezer and furnace for 24 hours on each unit, dual-fuel propane vs gas, including whether the cheap 3500W units can be paralleled at all. Home-backup framing beats the camping/RV framing everyone else uses and matches the higher-intent searcher.",Honda EU2200i; Westinghouse iGen4500DF dual fuel; Champion 200988 2500W dual fuel; Predator 3500 inverter generator; Generac GP3500iO; Firman W03081 3300W
