Rank,Keyword,Suggested Title,Volume,Competition,Why it's an opportunity,Products to Feature
1,router lift,"The 5 Best Router Lifts for Router Tables 2026",Medium,Low,"Recurring topic across 6+ blog roundups (WoodnBits, ToolsGearLab, Famous Artisan, Woodsmith Spirit) proves real buyer-intent demand, but zero dedicated 'Best Router Lift 2026' YouTube roundup videos exist in the last 12 months - the format is completely unclaimed on YouTube despite decent $150-400 AOV for affiliate commissions.","JessEm Mast-R-Lift II, Kreg PRS5000, Woodpeckers Router Lift, INCRA, Rockler, Jointech"
2,fish tape,"The 5 Best Fish Tapes for Electricians 2026",Medium,Low,"6+ dedicated 'best fish tape' blog guides (Galvinpower, Electrician Mentor, Wexford) confirm steady demand among electricians/DIYers, yet no dedicated YouTube 'Best Fish Tape' roundup surfaced for 2025-2026 - small channels can own this exact-match term immediately.","Klein Tools 56331, Klein 50375 Hi-Flex, Southwire Polymer Tape, Greenlee FTS438DL, IDEAL Blued Steel, RamPro 50-ft"
3,conduit bender,"The 5 Best Conduit Benders for Electricians 2026",Medium,Low,"7 separate 2026 blog roundups (Galvinpower, Wexford, Sixstoreys) show consistent search demand in the electrician niche, but no dedicated YouTube 'Best Conduit Bender' video exists from the last year - wide open on video despite saturated blog SERPs.","Klein Tools 51607 Aluminum, Greenlee 844AH Dual-Shoe, TEMCo TH3031 Hydraulic, TEMCo TH1909, Klein 51606, IDEAL"
4,marking knife,"The 5 Best Marking Knives for Precision Woodworking 2026",Medium,Low,"6 blog roundups (WoodnBits, KnifeFlow, TheSmallTools) show recurring demand for this classic joinery tool, but only a single YouTube Short touches the topic - no long-form 'Best Marking Knife' roundup exists, and low price points make a 5-6 product comparison easy to produce.","Kakuri Kiridashi, Clarke Brothers Marking Knife, Flexcut Marking Knife, Veritas Striking Knife, WoodRiver, RUITOOL"
5,dovetail marker,"The 5 Best Dovetail Markers for Hand-Cut Joints 2026",Medium,Low,"Multiple 2025-2026 blog guides (BestReviews, WoodnBits, Popular Woodworking roundup) confirm demand for this hand-tool-joinery niche, but the only YouTube hit is a short-form clip - a full 'Best Dovetail Marker' comparison video has not been made.","Veritas Dovetail Saddle Markers, Woodpeckers Dovetail Marking Gauge, Crucible Dovetail Template, Rockler Dovetail Marker, General Tools, Bridge City Tool Works"
6,card scraper,"The 5 Best Card Scrapers for Fine Furniture Finishing 2026",Medium,Low,"Storables/Dad Improvement/Saw Offers all publish 'best card scraper' guides showing real demand, while YouTube only has technique/sharpening videos - no dedicated product roundup exists, leaving the exact-match term open for a small channel.","DFM Tool Works Rectangle Scraper, Crucible Tool Card Scraper, Bahco Scraper Set, StewMac Ultimate Scraper, WoodRiver Cabinet Scraper, Two Cherries"
7,precision screwdriver set,"The 5 Best Precision Screwdriver Sets for Electronics Repair 2026",Medium,Low,"Bob Vila and multiple parts-supplier blogs publish 2026 roundups showing steady demand from the repair/hobbyist crowd, but no big review channel has claimed a dedicated 'Best Precision Screwdriver Set 2026' video yet - room for a small channel to rank.","Wiha 26197 26-Piece Set, iFixit 84-Piece Toolkit, Wera Kraftform Micro, Xcelite Precision Set, JOREST 52-in-1, STREBITO 142-Piece"
8,pin nailer,"The 5 Best Pin Nailers for Trim & Delicate Woodwork 2026",Medium,Low,"5+ blog roundups (SawsHub, ToolsGearLab, WoodnBits, Asaya Sculpture) confirm ongoing demand for this 23-gauge finish tool, but no dedicated big-channel 'Best Pin Nailer' YouTube roundup was found for 2025-2026 - only scattered single-tool reviews.","BOSTITCH HP118K, DEWALT DWFP2350K, Makita XTP02Z Cordless, Grex P635, Porter-Cable PIN138, WEN 61720"
9,mini wood lathe,"The 5 Best Mini Wood Lathes for Pen & Small Turning 2026",Medium,Medium-Low,"7 blog guides (Tools First, Lathe Matters, Etto Woodworking) show strong hobbyist demand for pen/ornament turning, and only one dedicated YouTube roundup ('Top 5 Best Wood Lathes 2026') has appeared in the past year - room for a channel focused specifically on mini/pen-turning lathes.","JET JWL-1221VS, RIKON 70-105, WEN LA3421, Proxxon DB250, Turncrafter Commander, Grizzly G8688"
10,drum sander,"The 5 Best Drum Sanders for Small Shop Woodworking 2026",Medium,Medium-Low,"7 blog roundups (ChainsawJournal, WoodnBits, ToolsRadar, TheHomeWoodworker) confirm real demand for flattening/finishing large panels, and only one dedicated YouTube video ('Top 5 Best Drum Sanders 2025') exists in the past year - decent AOV ($400-900) machines make this a strong affiliate category to claim early.","SuperMax 19-38, Laguna 16-32, JET 25-Inch Drum Sander, WEN 65911, Shop Fox W1678, Grizzly G0716"
