Keyword,Suggested Title,Volume,Competition,Why it's an opportunity,Products to feature
fish tape for electricians,"The 5 Best Fish Tapes for Electricians 2026",Medium,Low,"Every buying-guide site (Galvinpower, Electrician Mentor, jojoreviews, Rosenberry Rooms, fccj.org) has a fresh 2026 fish tape roundup -- proving steady demand -- but a Google/YouTube sweep turned up zero dedicated 'Best Fish Tape' ranking videos on YouTube. The format is wide open for a small channel.","Klein Tools 50375, Klein Tools 56331, Greenlee FTS438DL-250 SmartMARK, IDEAL 31-078 Fish Tape, RamPro Fish Tape Reel, Southwire Fish Tape Reel"
conduit bender for electricians,"The 5 Best Conduit Benders for Electricians 2026",Medium,Low,"Multiple 2025/2026 blog buying guides exist (Linquip, Storables, Ask The Electrical Guy) showing real purchase intent, but no dedicated 'Best Conduit Bender' YouTube ranking video surfaced in search -- only a single generic 'Introduction to the Conduit Bender' tutorial. Clear video-format gap.","IDEAL Electrical 74-028, Rack-A-Tiers Hoppy Bender, Klein Tools Conduit Bender, Greenlee Conduit Bender, Milwaukee Conduit Bender, Southwire Conduit Bender"
ratcheting wire crimper for electricians,"The 5 Best Ratcheting Wire Crimpers for Electricians 2026",Medium,Low,"Strong SEO competition (Bob Vila, Journeyman HQ, Enduring Automotive all have 2025 buying guides) confirms demand, but only single-product test videos exist on YouTube -- no small channel owns a dedicated ranked 'Best Ratcheting Crimper' roundup yet.","IWISS Kit-0535, Klein Tools 3005CR, Titan 11477, KNIPEX Ratcheting Crimper, Paladin Tools Crimper, TEMCo Ratcheting Crimper"
tenoning jig for table saws,"The 5 Best Tenoning Jigs for Table Saws 2026",Medium,Low,"Active buyer discussion on Sawmill Creek/FineWoodworking forums plus branded options (Grizzly, General Tools, Trend, Powermatic) confirm real purchase intent. Only one dedicated ranking video was found (published Dec 2024, small channel) -- the rest of YouTube's results are technique/DIY-build videos, not buying guides.","Grizzly Industrial T30491, General Tools 870, Trend MT/JIG, Powermatic PM-TJ, Delta Tenoning Jig, Rockler Tenoning Jig"
concealed hinge jig for cabinets,"The 5 Best Concealed Hinge Jigs for Cabinet Doors 2026",Medium,Low,"A real, recurring cabinetmaking/DIY-cabinet-refacing task with several branded products (Kreg, Trend, Rockler) and budget import options. No 'Best Concealed Hinge Jig 2025/2026' ranked roundup exists on YouTube -- every result is a single-product demo or how-to.","Kreg Concealed Hinge Jig, Trend 35mm Concealed Cabinet Hinge Jig, Rockler Hinge Jig, Woodhaven Hinge Jig, Veiko Concealed Hinge Jig, POWERTEC Hinge Boring Jig"
featherboard for table saw safety,"The 6 Best Featherboards for Table Saw Safety 2026",Medium,Low,"A safety accessory nearly every table-saw owner eventually buys, with a healthy spread of product types (magnetic, clamp-on, GRR-RIPPER style). Only one or two small-channel 'Top 5' videos exist from 2023-2025; no big review channel has claimed the exact-match term.","MICROJIG GRR-RIPPER, Magswitch SavR Featherboard, POWERTEC Featherboard, Rockler Featherboard, JessEm Clear-Cut Featherboard, Bench Dog ProFence Featherboard"
card scraper and burnisher set,"The 5 Best Card Scrapers for Woodworking 2026",Medium,Low-Medium,"Recurring finishing-tool purchase with established premium brands (Veritas, Two Cherries, Bahco). Existing YouTube coverage (Paul Sellers, Stumpy Nubs) is technique-focused, not a competing buying guide -- only one 'Top 5' ranking video (2024) was found, leaving the exact-match roundup term open.","Veritas Card Scraper Set, Bahco Card Scraper, Two Cherries Cabinet Scraper, WoodRiver Scraper and Burnisher Set, Crown Hand Tools Scraper, Bora Card Scraper"
drum sander for woodworking shops,"The 5 Best Drum Sanders for Woodworking Shops 2026",Medium,Low,"High-ticket machine ($200-$2000+) with strong affiliate commission potential and steady blog-guide demand (WoodnBits, Bestin Group, The Home Woodworker). Only one dedicated 'Top 5 Best Drum Sanders 2025' video was found on YouTube -- competition is mostly text-based review sites, not video.","SuperMax Tools 19-38, Laguna Tools 16-32, JET 18-Inch Drum Sander, Grizzly G0459, Grizzly G0716 Drum Sander, Performax 16-32 Plus"
oscillating spindle sander for woodworking,"The 5 Best Oscillating Spindle Sanders for Woodworking 2026",Medium,Low,"Common benchtop-machine upgrade purchase with multiple viable brands across price tiers (JET, WEN, Grizzly, Rikon). Just one dedicated ranking video (2026, small channel) surfaced -- most other results are individual product listicles, not YouTube roundups.","JET JBOS-5, WEN 6510T, Grizzly Industrial G1071, RIKON 50-121, JET JOSS-S Floor Mount, RIDGID Oscillating Edge/Belt Spindle Sander"
chisel and plane sharpening system,"The 5 Best Chisel Sharpening Systems for Woodworkers 2026",Medium,Low-Medium,"Every woodworker eventually buys a sharpening system, and premium brands (Veritas, Tormek, Work Sharp) create strong affiliate commission potential. No channel owns a dedicated 'Best Chisel Sharpening System 2025/2026' ranked video -- existing results are single-system reviews and technique tutorials.","Veritas Mk.II Honing Guide System, Work Sharp WS3000, Tormek T-8, Woodpeckers One Time Tool Sharpening System, Trend Fast Track Sharpening System, Veritas Mk.II Power Sharpening System"
