date,product_key,status,keyword,notes
2026-01-01,benchtop drill press,excluded,benchtop drill press,Already covered on channel
2026-01-01,cordless heat gun,excluded,cordless heat gun,Already covered on channel
2026-01-01,digital angle finder,excluded,digital angle finder,Already covered on channel
2026-01-01,cyclone dust separator,excluded,cyclone dust separator,Already covered on channel
2026-01-01,doweling jig,excluded,doweling jig,Already covered on channel
2026-01-01,mortise gauge,excluded,mortise gauge,Already covered on channel
2026-01-01,track saw,excluded,track saw,Already covered on channel
2026-01-01,cordless nail gun,excluded,cordless nail gun,Already covered on channel
2026-01-01,propane torch gun,excluded,propane torch gun,Already covered on channel
2026-01-01,weed killer sprayer,excluded,spruce weed killer,Already covered on channel
2026-01-01,portable electric stove,excluded,portable electric stove,Already covered on channel
2026-01-01,electric pressure washer,excluded,electric pressure washer,Already covered on channel
2026-01-01,concrete float trowel,excluded,concrete float trowel,Already covered on channel
2026-01-01,string trimmer,excluded,string trimmer,Already covered on channel
2026-01-01,soundbar,excluded,soundbar,Already covered on channel
2026-01-01,gas charcoal grill combo,excluded,gas charcoal grill combo,Already covered on channel
2026-01-01,outdoor cooking table,excluded,outdoor cooking table,Already covered on channel
2026-01-01,cordless lawn mower,excluded,cordless lawn mower,Already covered on channel
2026-01-01,leaf blower,excluded,leaf blower,Already covered on channel
2026-01-01,portable power station,excluded,portable power station,Already covered on channel
2026-07-19,framing nailer,used,cordless framing nailer under $200,Batch 2026-07-19
2026-07-19,palm nailer,used,palm nailer under $100,Batch 2026-07-19
2026-07-19,bench vise,used,bench vise for professionals,Batch 2026-07-19
2026-07-19,corner clamp,used,corner clamp set under $100,Batch 2026-07-19
2026-07-19,plug aerator,used,battery-powered plug aerator,Batch 2026-07-19
2026-07-19,rear tine tiller,used,rear tine tiller for fall cleanup,Batch 2026-07-19
2026-07-19,thermal imaging camera,used,thermal imaging camera for HVAC work,Batch 2026-07-19
2026-07-19,scroll saw,used,scroll saw for hobbyists,Batch 2026-07-19
2026-07-19,cabinet hardware jig,used,heavy duty cabinet hardware jig,Batch 2026-07-19
2026-07-19,trellis netting,used,trellis netting for vegetable gardens,Batch 2026-07-19
2026-07-24,conduit bender,used,best conduit bender 2026,Batch 2026-07-24
2026-07-24,knockout punch set,used,best knockout punch set 2026,Batch 2026-07-24
2026-07-24,lumber rack,used,best lumber rack 2026,Batch 2026-07-24
2026-07-24,outfeed table,used,best outfeed table for table saw 2026,Batch 2026-07-24
2026-07-24,box joint jig,used,best box joint jig 2026,Batch 2026-07-24
2026-07-24,french cleat wall storage system,used,best french cleat wall storage system 2026,Batch 2026-07-24
2026-07-24,card scraper,used,best card scraper 2026,Batch 2026-07-24
2026-07-24,fish tape,used,best fish tape 2026,Batch 2026-07-24
2026-07-24,marking knife,used,best marking knife 2026,Batch 2026-07-24
2026-07-24,shop air filtration system,used,best shop air filtration system 2026,Batch 2026-07-24
2026-07-24,cable puller,used,best cable puller 2026,Batch 2026-07-24
2026-07-24,table saw featherboard,used,best table saw featherboard 2026,Batch 2026-07-24
2026-07-24,heavy duty staple gun,used,best heavy duty staple gun 2026,Batch 2026-07-24
2026-07-24,rolling tool cart,used,best rolling tool cart for workshop 2026,Batch 2026-07-24
2026-07-24,power planting auger,used,best power planting auger 2026,Batch 2026-07-24
2026-07-24,tenoning jig,rejected,tenoning jig,Saturated - annual franchise refreshes every year incl 2026
2026-07-24,dovetail jig,rejected,dovetail jig,Saturated - 8+ dedicated roundups this cycle
2026-07-24,marking gauge,rejected,marking gauge,Saturated - live 2026 exact-match video exists
2026-07-24,router lift,rejected,router lift,Saturated - dense history plus live 2026 roundup
2026-07-24,benchtop thickness planer,rejected,benchtop thickness planer,Saturated - 8-10+ roundups
2026-07-24,benchtop jointer,rejected,benchtop jointer,Saturated - 5+ roundups in last 12mo
2026-07-24,oscillating spindle sander,rejected,oscillating spindle sander,Saturated - 4+ recent roundups
2026-07-24,benchtop drum sander,rejected,benchtop drum sander,Saturated - 6+ roundups in last 12mo
2026-07-24,mini wood lathe,rejected,mini wood lathe,Saturated - 5+ roundups
2026-07-24,dust collector,rejected,dust collector,Saturated - 10+ roundups
2026-07-24,moisture meter,rejected,moisture meter for wood,Saturated - 5 roundups plus established brands own it
2026-07-24,pin nailer,rejected,23 gauge pin nailer,Saturated - 6 roundups; also overlaps cordless nail gun
2026-07-24,detail sander,rejected,detail sander,Saturated - 8+ roundups plus big-budget comparisons entering
2026-07-24,wire stripper,rejected,automatic wire stripper,Saturated - 8+ roundups
2026-07-24,crimping tool,rejected,ratcheting crimping tool,Saturated - 7+ roundups
2026-07-24,precision screwdriver set,rejected,precision screwdriver set,Saturated - dominated by iFixit-adjacent channels
2026-07-24,benchtop mortiser,rejected,benchtop mortiser,Saturated - 8+ roundups in ~18mo
2026-07-24,spokeshave,rejected,spokeshave,Volume too thin - how-to content not buyer intent
2026-07-24,parallel bar clamps,rejected,parallel bar clamps,Saturated - mainstream brands own it
2026-07-24,led shop light,rejected,led shop light,Saturated - 5+ roundups, generic gadget category
2026-07-24,biscuit joiner,rejected,biscuit joiner,Saturated - 8+ roundups within 12mo
2026-07-24,non-contact voltage tester,rejected,non-contact voltage tester,Low AOV commodity plus heavy blog saturation
2026-07-24,chainsaw sharpener,rejected,chainsaw sharpener,Saturated - 8-9 roundups recurring annually
2026-07-24,post hole digger,rejected,post hole digger,Saturated - review-mill topic recurring yearly
2026-07-24,ice auger,rejected,power ice auger,Off-niche (fishing) and saturated
2026-07-24,wire tracer,rejected,wire tracer,Saturated - 8+ roundups incl multiple 2026
