Keyword,Suggested Title,Volume,Competition,Why it's an opportunity,5-6 products to feature
box joint jig,The 5 Best Box Joint Jigs for Drawer Joinery 2026,Medium - active YouTube tutorial/build playlists and forum threads (Sawmill Creek LumberJocks) plus steady blog coverage of the joinery technique,Low - no dedicated 'Best Box Joint Jig' roundup found on YouTube at all; only single-product spotlights and DIY playlists exist,A recurring evergreen joinery topic with real commercial SKUs that zero channels have claimed with an exact-match roundup,"Rockler Complete Box Joint Jig, INCRA I-BOX, Leigh D4R Pro, POWERTEC 71390, Peachtree Deluxe Box Joint Jig, Milescraft box joint attachment"
wood turning tool set,The 6 Best Wood Turning Tool Sets for Beginners 2026,Medium - multiple 2025-dated buyer's-guide blogs (Etto Woodworking Modern Woodturning Woodcraft Yard) indicate steady interest tied to the growing woodturning hobby,Low - no dedicated 'Best Wood Turning Tools/Chisels' YouTube roundup found despite heavy blog coverage of the exact term,Clear gap between strong blog/SEO demand and near-zero YouTube video supply in the exact-match format,"Robert Sorby, Easy Wood Tools, Benjamin's Best 8-piece HSS set, PSI Woodworking LCHSS8, Crown Tools, Hurricane Turning Tools"
sharpening system for chisels and plane irons,The 5 Best Sharpening Systems for Chisels & Plane Irons 2026,Medium - universal recurring woodworker purchase; several 2025 buyer's-guide articles (Sawinery Handy Manners) but very little dedicated video content,Low - no dedicated multi-product roundup found for the woodworking-specific term; results dominated by unrelated kitchen-knife-sharpener videos,Every woodworker eventually buys one but the search space is currently owned by knife content not woodworking content,"Work Sharp WS3000, Veritas Mk.II Honing Guide, Tormek T-4, WoodRiver Honing Guide System, Bora Sharpening Guide, Sawinery Sharpening Jig"
circuit breaker finder,The 5 Best Circuit Breaker Finders for Homeowners & Electricians 2026,Medium - Family Handyman and Bob Vila both run dedicated buying guides; dozens of individual product review videos confirm active shopper interest,Low - only one true multi-product roundup found (Oct 2025); everything else is single-SKU reviews not comparison roundups,High buyer intent (homeowner + electrician crossover) with almost no one doing the comparison-roundup format that converts on affiliate links,"Klein Tools ET310, Kaiweets KT301P, AstroAI Circuit Breaker Finder, Milwaukee 2222-20, Sperry Instruments CS61A, Extech CB10"
card scraper,The 5 Best Card Scrapers for Woodworking 2026,Medium - perennial finishing-tool topic with steady forum/blog traffic (LumberJocks WoodBarter) and multiple 'best card scraper' articles,Low - only one dedicated roundup found and it's dated 2024 with no 2025/2026 refresh yet,Stale existing competition (a year+ old) on an evergreen finishing-tool topic that's due for an updated video,"Bahco/Sandvik cabinet scraper, Crucible Tool card scraper, Stanley 80 scraper, WoodRiver scraper set, Veritas scraper, DFM Tool Works scraper set"
mini wood lathe,The 5 Best Mini Wood Lathes for Beginners 2026,Medium - several 2025/2026 buyer's-guide sites (Lathe Matters StrongMocha Etto Woodworking) show sustained interest in entry-level lathes as a growth hobby category,Low - only one dedicated YouTube roundup found covering mini/midi/budget lathes together,A genuine benchtop-machine purchase decision (higher AOV/commission) with only a single existing roundup to beat,"WEN 3421, Rikon 70-100, JET JWL-1015VS, Delta 46-460, Grizzly G0838, VEVOR benchtop mini lathe"
shop air filtration system,The 5 Best Shop Air Filtration Systems for Woodworking 2026,Medium - multiple dedicated 2025 blog guides (Woodworking Clarity Sanderscore Toolsradar) show consistent demand from serious hobbyist/small-shop woodworkers,Low - only a single dedicated YouTube roundup found for the exact 'woodshop air filtration system' term,High-ticket shop-setup category with real demand and almost no video competition good for affiliate commission size,"JET AFS-1000B, Powermatic PM1200, WEN 3410, Shop Fox W1837, Rikon 62-500, Grizzly G0572"
wood moisture meter,The 5 Best Wood Moisture Meters for Woodworking & Firewood 2026,Medium - strong surrounding SEO ecosystem (Wagner Meters Family Handyman Bob Vila) and cross-use with firewood/decking gives broad appeal,Low-Medium - existing YouTube roundups found are generic multi-material moisture meters not wood/woodworking-framed; no exact 'best wood moisture meter' roundup exists,A wood-specific framing is open even though the general moisture-meter term has some coverage; strong outdoor-DIY/firewood crossover for this audience,"Wagner Meters Orion 950, General Tools MMD4E, Klein Tools ET140, Ryobi E49MM01, Dr.meter MD812, Tavool moisture meter"
electrical fish tape,The 5 Best Electrical Fish Tapes for Running Wire 2026,Medium - several dedicated buyer's-guide sites (Galvinpower ElectricalKnowledge ElectricianMentor) covering 2025/2026 picks show real sustained DIY/electrician demand,Low - only two dedicated roundups found (2025 and 2026 versions) both under the threshold,A must-own tool for any wiring project with light video competition relative to its blog-guide footprint,"Klein Tools 56008, Southwire FTS50, Greenlee FTS438DL SmartMARK, IDEAL 31-057, Jameson 3700-series, GB Electrical fish tape"
non-contact voltage tester,The 5 Best Non-Contact Voltage Testers for Electricians 2026,Medium - a universal everyday electrical safety tool with steady coverage across home-improvement buying guides and consistent DIY/electrician search demand,Low - only one dedicated multi-product roundup found on YouTube for the exact term,A must-have safety tool for any electrical job that is almost entirely uncontested on YouTube despite steady blog demand,"Klein Tools NCVT-1, Fluke 1AC II, Sperry Instruments VD6504, Southwire NCV1, Extech VP20, Klein Tools NCVT-6"
