Date,Keyword,Amazon Path,Video Title,Affiliate Brands,Competition
2026-07-29,oscillating spindle sander,Tools & Home Improvement > Power Tools > Sanders > Spindle Sanders,"The 5 Best Oscillating Spindle Sanders for Your Workshop 2026","JET, WEN, RIDGID, Grizzly, Shop Fox",Low
2026-07-29,conduit bender for electricians,Tools & Home Improvement > Hand Tools > Electrician Tools > Conduit Benders,"The 5 Best Conduit Benders for Electricians 2026","Klein Tools, Greenlee, TEMCo, Gardner Bender, IDEAL",Low
2026-07-29,card scraper for furniture finishing,Tools & Home Improvement > Hand Tools > Scrapers > Card Scrapers,"The 5 Best Card Scrapers for Furniture Finishing 2026","Bahco, Lie-Nielsen, Crucible Tool, Blue Spruce Toolworks, DFM Tool Works",Low
2026-07-29,detail sander for trim work,Tools & Home Improvement > Power Tools > Sanders > Detail Sanders,"The 5 Best Detail Sanders for Furniture and Trim Work 2026","BLACK+DECKER, Milwaukee, SKIL, Bosch, DEWALT",Low
2026-07-29,rolling tool storage cart for garage,Tools & Home Improvement > Tool Storage > Tool Carts > Rolling Tool Carts,"The 5 Best Rolling Tool Storage Carts for Your Garage Workshop 2026","Craftsman, Keter, VEVOR, Olympia Tools, Homak",Low
2026-07-29,push block set for table saw,Tools & Home Improvement > Power Tool Accessories > Table Saw Accessories > Push Blocks,"The 5 Best Push Block Sets for Table Saw Safety 2026","MicroJig, POWERTEC, Milescraft, Gator Grip, Fulton",Low
2026-07-29,fish tape reel for electricians,Tools & Home Improvement > Hand Tools > Electrician Tools > Fish Tapes,"The 5 Best Fish Tape Reels for Electricians 2026","Klein Tools, Greenlee, Southwire, Gardner Bender, IDEAL",Low
2026-07-29,tenoning jig for table saws,Tools & Home Improvement > Power Tool Accessories > Jigs > Tenoning Jigs,"The 5 Best Tenoning Jigs for Table Saws 2026","Grizzly Industrial, Powermatic, Shop Fox, Delta, WoodRiver",Low
2026-07-29,honing guide for chisels,Tools & Home Improvement > Hand Tools > Sharpening > Honing Guides,"The 5 Best Honing Guides for Chisels and Plane Irons 2026","Veritas, Richard Kell, Trend, Saker, General Tools",Low-Medium
2026-07-29,mini wood lathe for beginners,Tools & Home Improvement > Power Tools > Lathes > Mini Wood Lathes,"The 5 Best Mini Wood Lathes for Beginners 2026","JET, WEN, Rikon, Delta, Grizzly",Low-Medium
