Date,Keyword,Suggested Title,Avg Monthly Searches,Three Month Change,YoY Change,Competition,Why It's an Opportunity,How To Compete,Products to Feature
2026-09-17,best generator transfer switch,The 5 Best Generator Transfer Switches for Home Backup Power 2026,"ESTIMATED ~2,000-4,000",n/a (volume ESTIMATED - no Ads API data),n/a (volume ESTIMATED - no Ads API data),LOW,"Only two dedicated roundups exist on the exact term ('Top 5 ATS Switches', May 2026, and 'Top 5 Best Transfer Switch for Portable Generators of 2026'), both small channels - yet the blog SERP is packed with 2026 buyer guides, which is the tell that commercial demand is real and advertisers are paying for it. High ticket ($150-$800) and the buyer almost always adds a power inlet box and a 30A generator cord in the same order, so one video carries three affiliate lines. Storm and winter-outage season is starting now.",-,Reliance Controls 31410CRK 10-Circuit 30A Transfer Switch Kit; Connecticut Electric EmerGen Switch EGS107501G2; Generac 6853 30A Manual Transfer Switch; Reliance Controls TF151W Panel/Link; Generac 7000 100A Automatic Smart Transfer Switch; Westinghouse WHAT50 50A Manual Transfer Switch
2026-09-17,best micrometer set,The 5 Best Micrometer Sets for Precision Machining 2026,"ESTIMATED ~500-1,200",n/a (volume ESTIMATED - no Ads API data),n/a (volume ESTIMATED - no Ads API data),LOW,"Zero dedicated roundup videos on the exact term in the last 12 months - YouTube has only single-tool reviews ('A Machinist Quality Digital Micrometer for Under $40', Apr 2026) and Shorts, while the written SERP is saturated with 2026 buyer guides from Penn Tool, Machinist Guides and measureday. That gap plus heavy blog competition is the classic under-served-video pattern. The channel already runs digital caliper, dial indicator and feeler gauge content, so the machinist crossover audience is proven and a micrometer set is the natural step up in ticket price.",-,Mitutoyo 103-907-40 0-4 in. Outside Micrometer Set; Starrett S436.1AZ 0-3 in. Micrometer Set; Mitutoyo 293-340-30 Digital Micrometer; iGaging IP54 Digital Micrometer Set; Shars 0-6 in. Micrometer Set; Fowler 52-229-113 Micrometer Set
2026-09-17,best coax compression tool,The 5 Best Coax Compression Tools for RG6 and RG59 2026,ESTIMATED ~300-800,n/a (volume ESTIMATED - no Ads API data),n/a (volume ESTIMATED - no Ads API data),LOW,"The only dedicated roundups on YouTube are from 2021 and 2023 - nothing in the last 12 months - while single-tool reviews (Klein RG6 compression tool, Jul 2025; Harbor Freight, Mar 2024) keep pulling views, proving live demand. Demand is being refreshed by the security-camera and OTA-antenna DIY wave, not just cable TV. Sits directly beside the punch down tool, tone generator and network cable tester the channel already covers, so the low-voltage audience is already built.",-,Klein Tools VDV226-110 Compression Crimper; Platinum Tools 16211C SealSmart II; Ideal 33-632 Coax Compression Tool; Jonard Tools UST-100 Universal Compression Tool; Southwire CCT-1 Coax Compression Tool; Cable Matters Universal Coax Compression Tool Kit
2026-09-17,best torque multiplier,The 5 Best Torque Multipliers for Lug Nuts and Heavy Bolts 2026,"ESTIMATED ~800-2,000",n/a (volume ESTIMATED - no Ads API data),n/a (volume ESTIMATED - no Ads API data),LOW,"One roundup in the last 12 months and it is an AliExpress-sourced list video ('Top 5 Best Torque Multiplier Wrenches in 2026 From AliExpress', Apr 2026); the next one back is from 2019. Demand comes from RV, trailer, pickup and tractor owners who cannot break a 450+ ft-lb lug nut with a breaker bar, and it is a genuine high-ticket buy. Adjacent to the torque wrench, breaker bar and impact socket content the channel already has, but the product itself has never been covered.",-,Performance Tool M208 Torque Multiplier Wrench; Sunex 9701 3/4 in. Drive Torque Multiplier; Neiko 00206A Torque Multiplier Lug Wrench; OTC 1191 Torque Multiplier; Tooluxe 10176L Torque Multiplier; ABN Heavy Duty Torque Multiplier Wrench Set
2026-09-17,best pex expansion tool,The 5 Best PEX Expansion Tools for DIY Plumbing 2026,"ESTIMATED ~1,000-2,500",n/a (volume ESTIMATED - no Ads API data),n/a (volume ESTIMATED - no Ads API data),MEDIUM,"PEX-A expansion is displacing crimp rings in remodels, and the tool is a $150-$1,500 purchase with a clear DIY-versus-pro split, which is ideal for a 5-product spread. The two videos holding the term are both 16+ months old and still carry a '2026' title, so a current, genuinely tested video can take the slot. The channel already covers the PEX crimp tool, so this is the natural successor product, not a repeat.","'5 Best Pex Expansion Tools 2026! Review And Rating' (Mar 2025) and '7 Best Pex Expansion Tools for Plumbers' (May 2025) own the exact term - both are stock-footage Amazon list videos from sub-50k channels, now well over a year old, and neither shows a single expansion or connection being made. Neither covers the DeWalt DCE400 or the current Milwaukee M12 generation. Angle: film one identical PEX-A joint made three ways - manual expander, M12, DeWalt 20V - with expansions-per-charge counts and a cold-pipe memory test, then close with cost-per-joint versus crimp rings for a DIYer doing a single bathroom.",Milwaukee 2932-22 M18 FORCE LOGIC ProPEX Expander; Milwaukee 2432-22 M12 ProPEX Expansion Tool; DeWalt DCE400B 20V MAX PEX Expander; iCrimp IWS-1462AF Manual PEX-A Expander; Apollo PEX-A Expansion Tool Kit; Ridgid RE-6 PEX Expander
2026-09-17,best ac manifold gauge set,The 5 Best AC Manifold Gauge Sets for HVAC and Auto Work 2026,"ESTIMATED ~700-1,500",n/a (volume ESTIMATED - no Ads API data),n/a (volume ESTIMATED - no Ads API data),MEDIUM,"Two distinct buyer groups search this term - the driveway DIYer recharging R-134a and the homeowner or apprentice touching a home HVAC system - and no existing video serves both. Price spread runs $40 to $700, which supports a genuine budget-to-pro ladder with strong affiliate value at the top end. The channel's existing multimeter, clamp meter and infrared thermometer videos already pull the diagnostic-tool audience.","HVAC Training 101, a mid-size trade channel, owns 'Best HVAC Gauges', Shop Talk Live posted 'The BEST HVAC Gauges' (Jun 2025), and a small affiliate channel holds 'Best AC Manifold Gauge Sets for 2026 [Top 5 Review]'. Every one of them is framed for working techs on R-410A/R-32 and ignores the automotive R-134a and R-1234yf buyer, who is the bigger half of the search volume. Angle: split the video explicitly by use case - cheap analog set for a car recharge versus a digital manifold for home HVAC - and put the same system on two gauge sets on camera to show where the $40 set actually misreads. None of the incumbents show a comparative reading.",Yellow Jacket 49967 Titan 4-Valve Manifold; Fieldpiece SMAN360 Digital Manifold; Testo 550s Smart Digital Manifold Kit; Mastercool 59661 Brute II 4-Way; CPS MA1234 Manifold Gauge Set; XtremepowerUS 4-Way R134a Manifold Gauge Set
2026-09-17,best roof rake,The 5 Best Roof Rakes for Snow and Ice Dams 2026,"ESTIMATED ~2,000-6,000 (sharply seasonal, peaks Dec-Feb)",n/a (volume ESTIMATED - no Ads API data),n/a (volume ESTIMATED - no Ads API data),MEDIUM,"Publishing in early October puts the video in place before the season turns, and search on this term goes near zero in summer then spikes hard with the first heavy snowfall - a video that ranks in October collects the whole winter. Ice-dam damage is an expensive, fear-driven purchase, so conversion is high, and the product ladder runs from a $40 telescoping rake to a $200 Avalanche system. Distinct from the snow blower and salt spreader work already covered.","'Best Roof Rakes 2025 - Stop Ice Dams & Heavy Snow Damage!' (Nov 2025) and '5 Best Roof Rakes for Snow Removal (2026)' (Dec 2025) hold the slot; both are generic stock-footage list videos from small channels with no snow on screen. The substantive gap: none of them distinguish a cutting/sliding rake (Avalanche, Roof Razor - a poly sheet that slides snow off without touching the shingles) from a scraping rake that drags across and strips asphalt granules, and none address steep-pitch or two-story reach. Angle: an on-roof shingle-damage comparison plus a reach-versus-roof-height chart, published in October so it is the freshest exact-match result when the first storm hits.",Avalanche! Original 500 Roof Snow Removal System; Minnsnowta Roof Razor; Garelick 21-Foot Aluminum Roof Rake; Snow Joe RJ208M 21-Foot Roof Rake; True Temper 1183900 Roof Rake; Suncast RC84004 Roof Rake
2026-09-17,best garage door opener,The 5 Best Garage Door Openers for Quiet Smart Operation 2026,"ESTIMATED ~20,000-40,000 (HIGH tier - above the LOW/MEDIUM ceiling by design)",n/a (volume ESTIMATED - no Ads API data),n/a (volume ESTIMATED - no Ads API data),HIGH,"One of the largest buyer-intent terms the channel can still reach that is not already covered: a $200-$600 purchase, replaced on a hard deadline when the old unit dies, with a male DIY-install audience that matches the channel exactly. Even a mid-page ranking on a term this size out-earns a #1 on a 400-search niche, and the install accessories (rail extensions, keypads, smart hubs) add a second affiliate layer.","This Old House holds the #1 written result with 'The 5 Best Garage Door Openers (2026)' and there are ten-plus exact-match affiliate roundups from the last 12 months ('Top 5 Best Garage Door Openers in 2026', Jun 2026; 'Top 7 Best Garage Door Openers', Mar 2026). Almost all of them recite specs over stock footage and none solve the buyer's actual blocker, which is whether a given opener fits their garage. Angle: reframe from a ranking to a fit decision - headroom measurement, whether the door and springs can take a wall-mount jackshaft, chain versus belt for an attached bedroom, and the hardwired battery-backup requirement now in force in several states. A decision tree beats a top-5 list here, and none of the incumbents attempt one.",Chamberlain B6753T Smart Belt Drive; LiftMaster 87504-267 Wall Mount Jackshaft; Genie 7155-TKV StealthDrive Connect; Chamberlain B2405 Belt Drive; Ryobi GD201 Ultra-Quiet Garage Door Opener; Sommer Direct Drive 1042V001
2026-09-17,best car battery charger,The 5 Best Car Battery Chargers for Cold Weather Starts 2026,"ESTIMATED ~15,000-25,000 (HIGH tier - above the LOW/MEDIUM ceiling by design)",n/a (volume ESTIMATED - no Ads API data),n/a (volume ESTIMATED - no Ads API data),HIGH,"Large, repeat-purchase, low-price-point term that converts well because the buyer is usually mid-problem, and it runs hot from October through February - the same window this batch is published into. Pairs with the jump starter and battery content the channel already has, so the video has an internal audience to inherit from on day one.","Ten-plus exact-match roundups landed in the last 12 months ('Best Car Battery Charger of 2026', Jun 2026; 'Top 6 Best Car Battery Charger 2026', Jun 2026; '6 Best Car Battery Charger 2026', May 2026) and NOCO takes the #1 slot in virtually all of them - it is a stock-footage affiliate battlefield with no testing behind it. The real gap: none of them test AGM or LiFePO4 charging modes, which is exactly where cheap chargers fail and where owners of newer start-stop cars and lithium powersports batteries get burned. Angle: bench-test every charger recovering the same deeply discharged AGM battery with timed voltage curves on camera, and add an explicit 'will it safely charge lithium' verdict per unit.",NOCO Genius5 5A Smart Charger; NOCO GENIUS2 2A Charger; Battery Tender Plus 1.25A; Schumacher SC1445 15A Charger; CTEK MXS 5.0; Black+Decker BC15BD 15A Charger
2026-09-17,best cordless drill,The 5 Best Cordless Drills for Home and Jobsite Use 2026,"ESTIMATED ~40,000-60,000+ (HIGH tier - above the LOW/MEDIUM ceiling by design)",n/a (volume ESTIMATED - no Ads API data),n/a (volume ESTIMATED - no Ads API data),HIGH,"The single biggest uncovered term in the channel's core category - the exclusion list has cordless impact driver, impact wrench, circular saw, jigsaw, planer and ratchet, but never the drill itself. It is the entry purchase that pulls the viewer into a battery platform, which means every future tool video on the channel has a reason to link back to it. A big swing, deliberately, and the one term worth losing some videos on to win.","Project Farm owns the head-to-head with 'Best Cordless Drill - 50 Tools Tested' plus newer hammer-drill rounds, and there are ten-plus exact-match affiliate roundups from the last 12 months ('Top 10 BEST Cordless Drills in 2026', Aug 2026; 'Best Cordless Drills 2026 - Top 9 Picks', Jun 2026). Do not contest raw torque testing - Project Farm wins that on equipment alone and a thinner version of their video loses. The uncontested gap is the question that actually decides the purchase: which battery platform is cheapest to live in. Angle: three-year cost-of-ownership per ecosystem (DeWalt vs Milwaukee vs Ryobi vs Makita) counting bare-tool prices and battery replacement, aimed at the viewer who already owns one battery. Positioning line: the drill is cheap, the batteries are not.",DeWalt DCD800E2 20V MAX XR; Milwaukee 2803-22 M18 FUEL; Makita XFD12 18V LXT Brushless; Ryobi PBLDD01K ONE+ HP Brushless; Flex FX1271T-Z 24V Turbo; Bosch GSR18V-400B12 18V Brushless
