Rank,Keyword,Suggested Title,Volume,Competition,Why it's an opportunity,5-6 products to feature
1,mobile tool base for woodworking machines,The 5 Best Mobile Tool Bases for Your Workshop 2026,Medium,Low,"Zero dedicated 'Best Mobile Tool Base' YouTube roundups found (only blog articles from WoodnBits/Cherry Picks/TheHomeWoodworker) despite every small shop with 2+ stationary machines needing one -- pure blog-to-YouTube gap with strong buyer intent.","Bora Portamate PM-3500, Bora Portamate PM-1100, POWERTEC Flip Top Tool Stand, Shop Fox D2058 Mobile Base, WEN Mobile Base, VEVOR Mobile Base"
2,best marking knife for woodworking,The 5 Best Marking Knives for Precision Woodworking 2026,Medium,Low,"Last dedicated 'Best Marking Knife' roundup on YouTube is from 2021 -- everything since is single-tool reviews or Shorts, even though 2025 blog roundups (KnifeFlow, English Woodworker) show active buyer search demand.","KAKURI Marking Knife, YBEATY Marking Knife, Blue Spruce Toolworks Marking Knife, Woodpeckers Marking Knife, Narex Marking Knife, Stanley 10-049 Knife"
3,card scraper for woodworking,The 5 Best Card Scrapers for Glass-Smooth Finishes 2026,Medium,Low,"Only two YouTube roundups exist total (2021 and 2024), none in the last 12 months, despite card scrapers being a staple hand-tool purchase pushed by big hand-tool influencers (Paul Sellers, Katz-Moses) -- wide open lane.","Bahco Card Scraper, Crucible Tool Card Scraper, StewMac Ultimate Scraper, WoodRiver Card Scraper Set, Veritas Card Scraper, Two Cherries Card Scraper"
4,chisel and plane sharpening system,The 5 Best Chisel & Plane Sharpening Systems 2026,Medium,Low,"No dedicated 'Best Sharpening System' comparison video found on YouTube at all -- only single-technique videos (Scary Sharp, WOOD magazine) -- despite heavy 2025-2026 blog competition (Sawinery, Levoite, Rockler) proving real search demand.","Work Sharp WS3000, WoodRiver Honing Guide System, Veritas Mk.II Honing Guide, Trend Fasttrack Sharpening System, Woodpeckers Sharpening System, Tormek T-8"
5,spokeshave for woodworking,The 5 Best Spokeshaves for Shaping Curves 2026,Medium,Low,"Zero roundup videos in the last ~4 years (most recent dedicated comparison is from 2021) -- a fully stale SERP on an evergreen hand-tool category that hand-tool woodworkers actively research before buying.","Veritas Spokeshave, Stanley No. 151 Spokeshave, WoodRiver 151 Spokeshave, Kunz Spokeshave, Two Cherries Spokeshave, Crown Hand Tools Spokeshave"
6,japanese pull saw ryoba,The 5 Best Japanese Pull Saws for Precision Joinery 2026,Medium,Low,"Only one dedicated roundup exists (2024, now stale) despite proven strong Amazon demand -- Amazon best-seller data shows the top ryoba ASIN moving ~6,000 units/month -- and dozens of 2025-2026 blogs chasing this term.","SUIZAN Ryoba Double Edge Saw, Gyokucho Razorsaw Ryoba, RUITOOL Japanese Pull Saw, Temple Tool Co. Ryoba, KERYE Japanese Pull Saw, Silky Gomboy Saw"
7,fish tape for electricians,The 5 Best Fish Tapes for Pulling Wire 2026,Medium,Low,"Recent YouTube coverage has gone stale -- most 'best fish tape' videos found date to 2020-2024 with nothing fresh for 2025-2026 -- while dozens of current-year blog buying guides show steady pro/DIY electrician demand.","Klein Tools 56331 Steel Fish Tape, Klein Tools 50375 Hi-Flex Polyester, Southwire Polymer Fish Tape, Greenlee FTS438DL-250, IDEAL Blued Steel Fish Tape, RamPro 50ft Fish Tape"
8,woodshop air filtration system,The 5 Best Air Filtration Systems for Your Woodshop 2026,Medium,Low-Medium,"Only two dedicated YouTube roundups found, both from 2025, on a category with rising health-conscious-shop demand and higher price points (better AOV for affiliate commissions) than most jigs/hand tools.","JET AFS-1000C, Powermatic PM1200, ALORAIR Purecare 1350IG, WEN 3410 Air Filtration System, POWERTEC AF4001, Shop Fox W1826"
9,benchtop drum sander,The 5 Best Benchtop Drum Sanders for Small Shops 2026,Medium,Low-Medium,"Only one dedicated 2025 roundup found versus a flood of blog guides -- thickness sanding is a common small-shop bottleneck, giving this real buyer intent with room to be first with a fresh 2026 YouTube comparison.","JET JWDS-1020, WEN 6550T, SuperMax 19-38 Drum Sander, Grizzly G0716, Shop Fox W1737, Delta 31-250X"
10,conduit bender,The 5 Best Conduit Benders for Clean EMT Bends 2026,Medium,Low-Medium,"Coverage is thin and scattered across years (2024, 2026) rather than concentrated -- no channel owns this term the way big names dominate wire strippers or clamp meters -- with steady electrician/DIY blog demand backing it up.","Klein Tools 51607 Aluminum Bender, Klein Tools 80148 ACCU-BEND Set, Greenlee 844AH Dual-Shoe Bender, IDEAL 74-047, Gardner Bender 961N BigBen, TEMCo TH3031 Hydraulic Bender"
11,torque screwdriver,The 5 Best Torque Screwdrivers for Precision Fastening 2026,Medium,Low,"Only one dedicated roundup found (Feb 2025) despite crossover demand from electronics, bike maintenance, gunsmithing, and cabinetry -- a precision-tool niche that fits the channel's specialty-tools bucket with little direct competition.","Wheeler FAT Wrench, Wiha TorqueVario-S, NEIKO PRO Torque Screwdriver, FACOM E.S404, CDI Torque Products Screwdriver, Precision Instruments PS1/4-3"
