Date,Keyword,Suggested Title,Avg Monthly Searches,Three Month Change,YoY Change,Competition,Why It's An Opportunity,How To Compete,Products to Feature
2026-09-17,best thread pitch gauge,The 5 Best Thread Pitch Gauges for Machinists and Mechanics 2026,"ESTIMATED ~200-500","n/a (no data - volume estimated, see note)","n/a (no data - volume estimated, see note)",LOW,"No dedicated YouTube roundup for this exact term surfaced in the last 12 months - the field is empty. Demand is real and recurring: machinists, gunsmiths, and home mechanics buy these to ID unlabeled screws, dies, and taps before ordering replacements, and the channel already runs machinist- and mechanic-adjacent hand tool content this slots naturally beside.",-,General Tools 800 Thread Pitch Gauge; Starrett 476 Screw Pitch Gauge; iGaging SAE/Metric Thread Pitch Gauge Set; Anytime Tools 60-Leaf Thread Pitch Gauge Set; Fowler 52-486-060 Screw Pitch Gauge
2026-09-17,best machinist square,The 5 Best Machinist Squares for Precision Metalworking 2026,"ESTIMATED ~300-700","n/a (no data - volume estimated, see note)","n/a (no data - volume estimated, see note)",LOW,"Only one dedicated roundup on the exact term appeared in the last year (Dec 2025), while the adjacent combination-square and speed-square slots this channel already owns are fully saturated. Precision squares carry a strong ticket at the premium end (Starrett-class pricing) and pull in the metalworking crossover audience alongside the woodworking base.",-,Starrett 12-146 Master Precision Square; PEC Tools Toolmakers Square; iGaging 4-Piece Precision Square Set; Shars 6-Inch Hardened Steel Precision Square; Grizzly Industrial G9645 Precision Square
2026-09-17,best magnetic welding clamp,The 5 Best Magnetic Welding Clamps for Fabrication and Metalwork 2026,"ESTIMATED ~500-1,200","n/a (no data - volume estimated, see note)","n/a (no data - volume estimated, see note)",LOW,"YouTube has essentially one non-roundup video against this exact term, while multiple text publishers (weldingranked.com, arcweldingpro.com, quickguidepro.com) actively rank buying guides for it - a sign of real, proven demand with the video slot still wide open. Welding and fabrication content fits the channel's workshop-tool audience and carries a solid $30-150 ticket per clamp.",-,Magswitch MagSquare 1000; Strong Hand Tools MS3-666 Multi-Angle Magnetic Square; US Weld 4-Way Magnetic Welding Clamp; WeldingCity Adjustable Angle Magnetic Clamp; Bessey WSM Series Welding Clamp
2026-09-17,best hori hori garden knife,The 5 Best Hori Hori Garden Knives for Digging and Weeding 2026,"ESTIMATED ~800-2,000","n/a (no data - volume estimated, see note)","n/a (no data - volume estimated, see note)",LOW,"Only 2-3 dedicated roundups published in the last 12 months, all from small or faceless channels, yet hori hori knives have crossed over from a niche Japanese gardening tool into a broadly recognized must-have (driven by Nisaku and Fiskars retail visibility) - real, growing demand against a still-thin video field.",-,Nisaku NJP650 Hori-Hori Knife; Fiskars Dual-Edge Hori-Hori Knife; TABOR TOOLS Hori Hori Garden Knife; Truly Garden Hori Hori Digging Tool; Barebones Living Japanese Hori Hori Knife
2026-09-17,best cordless mini cultivator for raised beds,The 5 Best Cordless Mini Cultivators for Raised Garden Beds 2026,"ESTIMATED ~500-1,200","n/a (no data - volume estimated, see note)","n/a (no data - volume estimated, see note)",MEDIUM,"The cordless-specific slot has only 2-3 dedicated videos (vs. a crowded general 'garden tiller' field), and the ones that exist are generic template uploads ('TOP-5 Best Cordless Tillers and Cultivators 2025') with no raised-bed or small-yard framing.","Neither existing cordless-cultivator video targets the raised-bed/small-urban-yard buyer specifically - both frame the tool for general garden use. A roundup built around raised beds and containers (weight, maneuverability, one-handed use) is a clear, unclaimed angle.",Sun Joe 24V-TL-LTE Cordless Cultivator; Earthwise TL70016 Cordless Tiller/Cultivator; Greenworks 40V Cordless Cultivator; BLACK+DECKER LGC120 20V Garden Cultivator; WORX WG779 20V Cordless Tiller/Cultivator
2026-09-17,best portable dust extractor for small shops,The 5 Best Portable Dust Extractors for Small Woodworking Shops 2026,"ESTIMATED ~1,000-2,500","n/a (no data - volume estimated, see note)","n/a (no data - volume estimated, see note)",MEDIUM,"About seven dedicated roundups exist in the last year, including a 'Festool vs. Bosch vs. Makita HEPA Showdown' video, but coverage skews almost entirely toward $300+ professional-grade units.","No current roundup builds a list of affordable, non-Festool HEPA extractors for the home hobby shop - every existing video anchors on premium brands. A budget-focused 'shop-tested under $300' angle undercuts the pro-grade framing that owns the term today.",Bosch VAC090AH Dust Extractor; DEWALT DWV012 HEPA Dust Extractor; Makita XCV11Z Cordless Dust Extractor; Fein Turbo I HEPA Dust Extractor; Metabo HPT RP250YDMQ4 Dust Extractor
2026-09-17,best compression tester for cars and small engines,The 5 Best Compression Testers for Cars and Small Engines 2026,"ESTIMATED ~1,500-3,000","n/a (no data - volume estimated, see note)","n/a (no data - volume estimated, see note)",MEDIUM,"Roughly four dedicated roundups surfaced, and one still-ranking video dates back to 2021 - the field is thin and aging rather than actively refreshed.","Every existing video tests on only one engine type, either automotive or small-engine, never both. A single roundup demonstrating the same testers on a car engine and a lawnmower/generator engine covers a search gap neither current video fills, and beats the 2021 upload on recency alone.",OTC 5605 Deluxe Compression Tester Kit; Actron CP7827 Compression Tester; ABN Gas Engine Compression Tester Kit; BETOOLL HW0130 8-Piece Compression Tester Kit; Craftsman CMMT99385 Compression Tester Set
2026-09-17,best infrared thermometer for hvac and home inspection,The 5 Best Infrared Thermometers for HVAC and Home Inspection 2026,"ESTIMATED ~5,000-12,000","n/a (no data - volume estimated, see note)","n/a (no data - volume estimated, see note)",HIGH,"Volume is large and the term is crowded with 9+ roundups in the last year, but no major tool-authority channel (no Project Farm, no Pro Tool Reviews) has claimed it, and most existing videos frame the tool for kitchen/cooking use.","Nearly every current roundup is a cooking-thermometer list with an infrared gun bolted on. Reframe the whole video around HVAC diagnostics and attic/wall insulation inspection - a homeowner-DIY use case none of the ranking videos target - to differentiate from the cooking-focused field that currently owns the term.",Klein Tools IR1 Infrared Thermometer; Etekcity Lasergrip 774 Infrared Thermometer; Fluke 62 MAX+ Infrared Thermometer; ThermoPro TP30 Infrared Thermometer Gun; Fieldpiece SThP1 Pocket Infrared Thermometer
2026-09-17,best cordless grass shears for lawn edging,The 5 Best Cordless Grass Shears for Lawn Edging and Trim Work 2026,"ESTIMATED ~3,000-8,000","n/a (no data - volume estimated, see note)","n/a (no data - volume estimated, see note)",HIGH,"9+ roundups published in the last year, mostly from similarly-templated faceless review channels rather than one dominant authority - a crowded but not locked-up term.","Every ranking video tests the shears on a tidy, already-mowed lawn. None torture-test against thick, overgrown, or neglected edges - the exact scenario buyers researching this term are usually trying to solve. A real-world overgrowth test is the differentiator none of the current top videos offer.",Makita XMU04Z 18V Cordless Grass Shear; WORKPRO 7.2V Cordless Grass Shear; Sun Joe HJ604C Cordless Grass Shear; BLACK+DECKER LSTE525 Cordless Shear; Greenworks 24V Cordless Grass Shear
2026-09-17,best lineman's pliers for electricians,The 5 Best Lineman's Pliers for Electricians and Heavy-Duty Wire Work 2026,"ESTIMATED ~3,000-8,000","n/a (no data - volume estimated, see note)","n/a (no data - volume estimated, see note)",HIGH,"9+ roundups in the last year including Klein Tools' own brand channel and several budget-vs-premium comparisons - a genuinely crowded slot.","Coverage is either single-brand (Klein's own review) or budget-only; no roundup quantifies actual cutting force or wire-gauge capacity across brands side by side. A hands-on force/capacity test across 5 brands is the concrete angle none of the current videos attempt.",Klein Tools J2000-9NE Lineman's Pliers; Knipex 09 01 240 High-Leverage Lineman's Pliers; Channellock 369 Lineman's Pliers; Milwaukee 48-22-6100 Lineman's Pliers; Klein Tools 2139NERINS Insulated Lineman's Pliers
